'blue chip' share	蓝筹股
from different aspects	从不同的方面
from door to door	挨家挨户
from here on	从现在开始
from now on	从今往后，从现在开始，从现在开始
from that day on	从那天开始
from the bottom of one's heart	真心诚意地，发自内心地
from then on	从那以后，从那时候起，从那时开始，从那时起，从那时起，以后
from time to time	不时地，不时，有时，偶尔，不时；偶尔，偶尔，有时，时常；有时，有时；不时，有时；间或
from...on	从……时起
from...to ...	从……到……
from...to...	从……到……
front	前面，正面 adj. 前面的 n. 前线；前面，前面，前面；正面
front page	(报纸的）头版
frontier	n. 国界；边境，国界；边疆；边境，新领域，边境，边界
frost	n. 霜，霜；霜冻
frown	vi. 皱眉；蹙额
frozen	adj. 冰冻的，结冰的
fruit	水果 n. 水果，水果；果实；结果
fruitful	adj. 富有成果的
fruits	水果
fruity	adj. 果味的；（酒）有葡萄味的
frustrated	adj. 懊丧，懊恼
frustration	n. 挫折，失望，失意，挫折；受挫的状态
fry	油炸 n.  v. 油炸，油炸，油煎，煎；炸；炒，用油煎，用油炸 vt. 用油煎，用油炸 vt.&vi. 油炸，油煎，油炒，油煎；油炸
fuel	n. 燃料 vt.&vi.
fulfil	vt. 履行，实现，完成，满足；实现；达到
fulfill	v. 履行，完成，达到；执行 vt. 履行，实现，完成；满足
fulfilling	adj. 令人满意的；令人愉快的
fulfillment	n. 满足，完成，履行
fulfilment	n. 实现，达到，履行
full	满的；饱的，饱的，完全的，完整的，满的 adj. 圆的；满的，忙的；满的；充满的，满的，满的，充满的，满的；充满的，满的；充足的
full of	满是……的；（有）大量的；（有）丰富的，（有）大量的；（有）许多的(be)，充满
full of sth.	充满；满是……的
full-length	adj. 标准长度的，未经删节的，足本的；全身的
full-scale	adj. 完全的；彻底的
full-time	adj. 专职的；全日制的
full-time teaching post	全职的教职
full-time work	专职工作
fully	adv. 充分地，完全地，完全地；彻底地
fun	乐趣，乐趣，快乐，娱乐，有趣，有趣的，有趣的事，有趣的，逗乐的，有趣的；乐趣 adj.  n. 乐趣，享乐，乐趣；有趣的事，娱乐；乐趣，有趣的事；玩笑
function	函数 n. 作用，功能，职能，功能，功能；作用；职责；职能 v. 运行，起作用 vi. 起作用，运行，起作用，运转；发挥作用
function keys	功能键
fund	n. 基金；专款，资金，基金，资金；基金，资金；现款
fundamental	adj. 基础的；基本的，基本的，不可或缺的，重要的，基本的，根本的，基本的；基础的，基本的；根本的，根本的，十分重大的；基础的，根本的；基本的，根本的；基础的
fundamentally	adv. 基本上，根本地
funeral	n. 葬礼，葬礼，丧礼，葬礼，出殡，葬礼；丧礼
funfair	n. 露天游乐场
funnel	n. 漏斗
funnelweb spider	漏斗网蜘蛛
funny	好玩的；有趣的，有趣的，滑稽的，滑稽的；好笑的，逗人笑的，滑稽的，可笑的，滑稽的，有趣的，滑稽的；可笑的 adj. 奇怪的；滑稽好笑的，好笑的，滑稽的，好笑的；滑稽的，有趣的，有趣的；可笑的，滑稽的，好笑的，滑稽的；好笑的
fur	毛皮，（某些动物的）浓密的软毛 n. (动物的)皮毛；软毛，毛皮，毛，毛皮；皮子，皮毛，软毛，毛皮，（兽类的）毛，（动物的）毛，（动物的）毛皮，（动物的）皮毛，毛皮，（动物的）软毛，毛皮，毛皮，浓密的软毛，毛皮；毛；软毛
furious	adj. 狂怒的，暴怒的
furnish	v. 为（房屋或房间）配备家具，供应；提供 vt. 供应，提供，装备，布置，供给，布置，配备家具；供应，装备，陈设；布置
furnished	adj. 配备好装备的；带家具的，配备家具的，配有家具的
furniture	n. 家具，家具（总称）
furry	adj. 毛茸茸的
further	adj. 更多的，更进一步的，进一步的 adv. (far的比较级)较远，更远，较远，进一步，在更大程度上 vt. 促进，加深，使……更进一步
furthermore	adv. 此外，而且，此外；而且，而且；此外
furthest	adj.&adv. 最远的，最大程度的 adv. （far的最高级）最远
fusion	n. 合并；合成，熔合，熔化，融合
future	将来，未来，将来；未来，未来，未来，将来 n. 将来，将来；未来，未来，未来，将来
futurologist	n. 未来学家
futurology	n. 未来学
gable	n. 三角墙，山墙
gadget	n. 小巧的装置；小玩意儿，小玩意儿
gaiety	v. 欢乐，愉快
gaily	adv. 快乐地；轻松地
gain	n. 收获 v. 获得 vt. 增加；获得，赢得，获得；增加，获得；得到，获得；赢得
gain a place at/in	在……赢得一席之地
gain entry to	参与，进入
gain self-confidence	获得自信
gain weight	增加体重
galaxy	n. 星系
gale	n. 大风，（突发的）一阵
gall-bladder	n. 胆囊
gallery	n. 美术陈列室；画廊，画廊，美术陈列室，美术馆；（美术馆等展出或收藏的全部）美术品，画廊，陈列室，展览馆，美术馆；画廊，（艺术作品的）陈列馆；画廊，（艺术品）陈列室；展览馆，画廊
gallon	n. 加仑（容量单位）
gallop	vi. 疾驰，飞奔 vt.&vi. 奔驰；奔跑
gamble	n. 赌博；投机
game	比赛；游戏，游戏，游戏；比赛，运动，比赛，游戏；运动项目 n. 比赛；运动；游戏，游戏，游戏；比赛，游戏；运动；比赛，运动项目
game board	棋类游戏的棋盘
game show	游戏节目 n. 游戏表演，竞赛节目
game-maker	n. 游戏（机）制造者
gang	n. （犯人的）一群，一帮，（青少年等的）一伙
gap	n. 间断；裂口；差距，间歇，间隔；裂口
gap year	n. （中学和大学之间暂停学业的)生活实践年（用于实习或旅行）
garage	n. 停车房；车库，汽车修理厂，汽车修理厂；车库，车库
garbage	垃圾 n. <美>（生活）垃圾，垃圾，垃圾，废物，废料；垃圾，（生活）垃圾，废物；垃圾场
garbage can	<美>垃圾桶
garbage in, garbage out*	无用输入，无用输出
garden	宅旁花园，菜园，栽培花木，花园，花园，果园，花园；菜园 n. 花园，花园，果园，花园；园子 v.
gardener	园丁；园林工人 n. 园丁；花匠，园艺家；花匠；园丁
gardening	n. 园艺
garlic	n. 大蒜，蒜，蒜，大蒜
garment	n. 衣服，衣服；外衣，（一件）衣服，（一件）衣服（外套、裙、袍等）  (pl)服装
gas	气体 n. 气体，气体燃料；气体，气体；天然气，煤气，气体；煤气，气体；煤气；汽油，汽油；天然气；气体，汽油；气体；煤气；毒气
gas stove	煤气灶；天然气灶
gas tank	（汽车）邮箱；煤气罐
gasoline	汽油 n. 汽油
gasoline-powered	汽油发动的
gasp	v. （因惊讶或害怕）喘着气说 vi.  vt.
gasp with surprise	惊叹
gate	大门 n. 大门
gatekeeper	门卫 n. 门卫
gateway	n. 门，通路
gather	v. 召集，聚集；收集 vi.&vt. 聚集，聚集，集合 vt. 集合；聚集；收集 vt.&vi. 搜集；集合；聚集
gather at...	在……集合
gather round	围过来
gatherer	n. 采集者
gathering	n. 聚会；集会
gaudy	adj. 华而不实的
gaunt	adj. 憔悴的，瘦削的
gave	give的过去式，（give的过去式）给，提供；交给（give的过去式），（give的过去式）给，送 v. 给（give的过去式）
gay	adj. 快乐的；欢快的 n.
gaze	n.  n.&vi. 盯；凝视 v. （长时间地）盯视，凝视 vi.
gaze at	凝视，注视
gaze at sb. with tears	泪眼朦胧地凝视
gear	v. （使）准备好；（使）合适
geek	n. （尤指好像只对电脑感兴趣的）呆子
gem	n. 宝石
gender	n. 性别
gene	n. 基因
gene-therapy	基因疗法
general	adj. 一般的；普通的，一般的；普遍的，大体的；普遍的，大致的；总体的；普遍的，总的；普遍的；首席的，整体的；普遍的 n. 将军
generally	adv. 一般地，通常，普遍地，广泛地
generally speaking	一般来说，一般而言，通常来说；总体而言
generate	vt. 产生；发生，发（电）
generation	n. 一代；一辈，一代人，一代（人），一代， 一代人，一代；一代人，代，一代
generation gap	代沟
generator	n. 发电机，发生器
generous	adj. 慷慨的；大方的，慷慨的，大方的，慷慨的，大方的；宽厚的，仁慈的，有雅量的；大方的；心地高尚的
genetic	adj. 基因的，遗传基因的；遗传学的，遗传的，基因的，起源的
genetically	adv. 从基因上，与基因相关
genetically modified	转基因的
genetics	n. 遗传学
genial	adj. 友好的，善良的
genius	n. 天才，天才，天赋；天才人物，天才，才子
genocide	n. 种族灭绝
genre	n. （电影、写作、艺术等的）类型，体裁，种类，体裁，样式，（文艺作品的）类型；体裁
genre fiction	n. 类型小说
gentle	adj. 温柔的；柔和的，和善的，温和的，平缓的，温和的，温和的；文雅的，温柔的，温柔的，平和的，温柔的；柔和的；轻轻的
gentleman	n. (pl. gentlemen)先生，先生；男士，先生；绅士，绅士，先生，绅士，有教养的人，（pl.gentlemen）绅士；君子，，先生；男士
gentlemanly	adj. 绅士的，绅士似的
gently	和缓地；温柔地 adv. 温柔地；柔和地；轻轻地，温柔地；轻轻地
genuine	adj. 纯粹的，真正的，真实的，真的；名副其实的，真的；真诚的
genuinely	adv. 真诚地，诚实地
genuineness	n. 真挚；真正
geographical	adj. 地理的，地理的，地理学的，地理（学）的
geography	地理 n. 地理，地理（学）
geological	adj. 地质学的；地质的
geologist	n. 地质学家
geology	n. 地质学
geometry	n. 几何学，几何，几何，几何学
germ	n. 病菌；细菌，（尤指致病的）微生物；病菌，微生物；细菌
gesture	手势 n. 姿势，手势，手势，手势，姿势，手势；姿势，手势；姿势；示意动作，姿势；姿态 vi.
get	到达，到达（过去式got），变得，变成，开始；得到(过去式为got)，得到，得到；收到，得到；获得，收到，接到，获得，到达（某地），得到，获得，获得；收到，拿，取 v. 去取（或带来）；得到，变得，变成；成为，得到，得到；到达，获得，得到
get a grip on	抓住
get a kick out of	（俚语）从……中得到乐趣
get a surprise	吃惊
get a telephone call	接电话
get a timely treatment	得到及时的治疗
get accustomed to sth.	习惯于……
get across	使理解（某事），把……讲清楚，被理解，使人了解
get along with	与……相处；进展
get along with...	和……相处
get along/on with	与……和睦相处
get around	到处旅行；四处走动，到处走动，四处走动（旅行）
get at	到达，够到
get away	度假，休假，逃脱；离开
get away with	受到从轻发落；（做坏事）不受惩罚
get better at sth.	在……方面变得更好；更擅长
get by	通过；混过
get caught	被抓住，被逮住
get chilled to the bone	冰冷彻骨
get close to	接近
get down	蹲下；趴下
get down to sth.	开始做某事
get down...	从……下来
get dressed	穿上衣服，穿衣，穿衣服
get fat	发胖
get hold of	得到；抓住，抓住
get hooked on	沉溺于
get hurt	被伤害
get in the way	妨碍
get in the way of	挡……的路；妨碍
get in touch	取得联系
get in touch with	（与……）取得联系
get in trouble	遇到麻烦
get interested in	对……感兴趣
get into	介入，陷入；参与，陷入；染上（坏习惯）
get into shape	强身健体
get into the habit of...	养成……的习惯
get into trouble	遇上麻烦，陷入麻烦，陷入困境
get involved with	参加，参与
get lost	迷路
get mad	大动肝火；气愤
get married	结婚
get off	下车，下（车），下（飞机、火车、公共汽车等），入睡；出发
get on	上车，上（车），融洽相处；进展，登上（车、船等）
get on well with sb.	与某人相处融洽
get on with	和睦相处；关系良好
get on with sth.	继续……
get one's mind off	转移某人的注意力，忘掉
get one's point	明白某人的意思
get one's way	随心所欲
get online	上网
get out	出去，出去；（秘密）泄露，传出，出来，走开，离开
get out of	离开；从……出来，逃避；避免
get out of control	摆脱控制
get over	克服；越过，恢复，成功地处理/应付，解决；克服
get popular	受欢迎；流行
get ready	准备；做准备，准备好
get ready for	为……做好准备
get ready for sth	为……准备好
get ready to	准备好做……
get rid of	丢弃，摆脱，扔掉，处理掉，摆脱，摆脱，摆脱；除去，除掉；处理掉
get round	顺利应付；克服；说服某人同意其原先反对的事
get sb. to do sth.	让某人做某事
get some sense of	感觉到
get somebody nowhere	使某人毫无成就
get something across	把……表达清楚
get started	开始
get straight A's	得全优，（成绩）得全优
get the hang of	熟悉；掌握；理解
get the most out of	最有效地使用
get through	度过；通过；做完，设法联系上（尤指打通电话）；（设法）做完；通过，通过，（用电话）接通
get tired of	对……厌烦(=be tired of)
get tired of doing sth.	厌倦做某事；厌烦做某事
get to	到达
get to know	了解；认识
get to one's feet	站起身来
get to work	来上班；开始工作
get to work straight away	立刻开始工作
get together	团聚，聚会，联欢，聚会；相聚，聚会
get up	起床，起床，起来，起床；站起
get used to	习惯于，习惯于；适应
get used to sth.	习惯于……
get well	康复，身体变好
get wind of...	得到……的风声
get...back	拿回某物
get...for free	（美口语）免费取得
get...from...	从……获得……
get...in	收割;收获
get/be involved in	涉及；参与
geyser	温泉
ghastly	糟透的
ghost	n. 鬼，幽灵，鬼，鬼魂，鬼；鬼魂，鬼；幽灵
giant	巨人，巨大的 adj. 巨大的，特大的，巨大的；伟大的，巨大的；庞大的 n.
giant panda	n. 大熊猫
gift	礼物 n. 天赋，天赋，才能，礼物，礼物；天赋，礼物；赠品
gifted	adj. 有天才的，有天才的，有天赋的，有天资的；有天赋的，有天赋的，有天赋的，有天才的，有天赋的；有才华的
gigabyte(GB)	千兆字节，吉
gigahertz(GHz)	千兆赫，吉赫
gigantic	adj. 巨大的；巨人般的
giggle	咯咯地笑 n.  v.  vt. 咯咯地傻笑
ginger	姜
gingko tree	银杏树
giraffe	长颈鹿 n. 长颈鹿
gird	v. 围绕
girl	女孩 n. 女孩，女孩，姑娘
girlfriend	n. 女朋友
give	给，给(过去式gave），给予，给；给予，给，送，递给，拿给 v. (gave)提供；给，提供；给，给，给，交给；赠送，给，送
give a helping hand	帮助，伸出援助之手
give an account of	描述，记述
give and take	互相迁就
give away	暴露（自己的情况），泄露（秘密），赠送；捐赠，赠送；泄露（秘密），送掉；泄露
give birth to	产生；分娩，使……产生，生育，孕育；产仔；引起，产生……，生，产生；引起；造成
give concerts	举办音乐会
give credit for	给予肯定
give in	投降；屈服；让步，让步，屈服
give in to	妥协，让步，屈服；认输；投降
give it a try	试一试
give life to	赋予……生命（生命力，活力）
give off	发出（蒸汽、光等），释放出，放出
give one's life for	为……献出自己的生命
give oneself up to...	自首
give out	分发，分发；散发，发出（气味，热等）；分发
give priority to...	给……优先权；优先考虑
give relief	减轻（痛苦）；减缓（病痛）
give sb. a hand	帮某人一个忙
give sb. a hug	拥抱某人
give sb. a lesson	给某人一次教训
give sb. a ride	让某人搭便车
give somebody the edge	使某人略占优势
give speeches	发表演讲
give thanks to sb. for sth.	为某事感谢某人
give thought to	认真考虑，思考
give up	放弃，放弃（努力），放弃；交出，放弃；认输
give way	坍陷，倒塌
give way to	to 让路；让步，让位于……
give way to...	为……所代替；让路
give...a lift	捎……一程，让……搭车
given	prep. 考虑到；鉴于
glacier	n. 冰川；冰河，冰河；冰川
glad	高兴的 adj. 高兴的，高兴的，愉快的，高兴的；乐意的，高兴的；愉快的，高兴的；欢喜的，高兴；愉快，高兴；愿意
glamorous	adj. 有吸引力的，迷人的，非同凡响的，极富魅力的，非常吸引人的
glance	n.  v. 一瞥；扫视，一瞥；迅速看一眼，匆匆一看（常与at连用） vi. 瞥一眼 vi.&n. 瞥一眼，匆匆看
glance at	一瞥；扫视
glance at sth.	看；瞥
glance through	匆匆看一遍
glare	n. 刺眼的光，眩目的光 vi. 怒目而视；发出炫目的光，怒视，瞪
glare at	对……怒目而视
glass	玻璃，玻璃制品；玻璃，玻璃杯，玻璃，玻璃杯 n. (玻璃)杯，玻璃，玻璃杯；玻璃，玻璃杯；玻璃；（复）眼镜，眼镜（glasses）；玻璃，玻璃杯
glasses	(pl.) n.眼镜，眼镜，（pl.)n.眼镜 n. [复]眼镜，[用复数]眼镜
glassy	adj. 像玻璃的
gleam	n. 亮光，反光
glimmer	v. 闪烁
global	adj. 全世界的，全球的，全球性的；全世界的，全球的，全球的，全世界的，全球的；全世界的
global warming	全球变暖
globalisation	n. 全球化，全球性
globally	adv. 全球的；全局地；世界上
globe	n. 世界，全球；地球仪；球体，地球，地球；地球仪，球体；地球仪；地球
gloomy	昏暗的
glorious	adj. 光荣的，辉煌的；愉快的，光荣的；辉煌的；极好的，灿烂的，绚丽的
glory	n. 光荣，荣誉，光荣，荣誉，壮观，光荣；荣誉，荣耀的事，值得骄傲的事，荣誉，光荣；赞美，辉煌；荣耀，光荣 vi. 自豪；得意
glory in	以……为荣
glossy	adj. 有光泽的
glove	手套，（分手指的）手套 n. 手套，（分手指的）手套 v.
gloves	手套
glow	n. 微弱稳定的光；暗淡的光 vi. 发光
glowing	adj. 炽热的，发光的
glue	胶水，胶（水） n. 胶水，胶，胶水 v. 用胶水粘 vt. 粘贴；紧附于
glue stick	胶棒
go	出发，离去；行走；去；开始，去，去；走，走；去(过去式went) n. 尝试；努力 v. 去，走，去；走，走；去
go aboard	上（船、飞机等）
go about	忙于某事；继续做某事
go abroad	去国外
go after	追求；谋求
go against	违反
go against sb./sth.	违反……；反对……；不利于……
go ahead	前进；（用于祈使句）可以；往下说，（尤指经某人允许）开始，开始做；走在前面
go ahead one space	向前一步
go ahead with	开始做；着手干
go along the street	沿着这条街走
go around	四处活动，走来走去
go away	离开，走开，走了，离开，走开
go back	回去
go back to	回去，追溯到
go back two spaces	向后两步
go beyond	超出
go boating	去划船
go by	过去；流逝，逝去，过去，（时间）逝去；过去
go camping	去野营
go climbing	去爬山
go cycling	去骑自行车
go deep into mountains	躲进深山里
go down	下沉，落下
go down well	被接受；受欢迎
go far beyond...	（程度；范围等）远远超出……
go fishing	去钓鱼，钓鱼
go for	支持
go for a bicycle ride	骑自行车兜风
go for a picnic	去野餐
go for a walk	去散步，散步
go for it	努力吧；加油
go for sth.	去从事（某项活动或运动），去参加
go for walks	散步
go home	回家
go in	进入，走进
go into	走进，走入
go into detail(s)	讨论，细谈
go into details	详述，逐一细说
go into hiding	躲藏起来
go mad	发疯
go mountaineering	登山
go off	离开，离开；消失；变质，（铃、爆竹等）响，（闹钟）发出响声
go on	继续，进行
go on a diet	节食
go on a picnic	去野餐，进行野餐
go on a trip	去旅行，去旅游
go on circuit	巡回
go on doing	不停地做
go on holiday	去度假
go out	出去，外出（娱乐），外出；游玩，外出
go out for a picnic	去野餐
go out of one's way	特地；格外努力
go out of style	不再流行
go out to sb.	对某人产生同情
go outside	外出
go over	复习；回顾，复习；练习，复习；重温
go past	经过
go running	去跑步
go sailing	去航行，去进行帆船运动
go shopping	去买东西，去买东西，去购物，去购物，购物，去买东西；购物
go sightseeing	去观光，观光
go skating	去溜冰；去滑冰，去滑冰
go straight	直行
go straight on	直着走
go swimming	去游泳
go through	穿过，经历，经历；经受，经历；经过，经历；遭受，获准，经过程序，通过
go through sth.	经历；完成
go to	去……
go to a drawing club	去绘画俱乐部
go to bed	上床睡觉，去睡觉，睡觉，睡觉 （go to school 上学;go to work工作），上床，睡觉，去睡觉；就寝
go to hospital	去看病
go to jail	入狱
go to prison	入狱；被监禁
go to school	上学，去上学，去学校
go to sleep	去睡觉，开始睡觉；入睡
go to the beach	去海边
go to the cinema	去看电影，看电影
go to the movies	去电影院，去看电影，看电影
go to the park	去公园
go to the supermarket	去超市
go to the zoo	去动物园
go to the/a doctor	去看医生
go to waste sth.	（被）浪费掉
go to work	上班，去上班
go up	上升，上升，增长，上升；增长；升起
go up to	上升到，前往
go well	进展顺利
go with	伴随，与……相配
go wrong	弄错；犯错；（机器）出故障
goal	射门得分，得分，目标，射门，进球，得分 n. 射门，进球得分；目标，球门；射门，进球得分；目标，球门；射门；目标，目标，目标；目的，目标；进球得分，射门，目标；目的；球门；（进球）得分，目的；目标
goalkeeper	守门员
goat	山羊 n. 山羊
gobble	vt. 狼吞虎咽
god	n. 上帝；神，神，神灵，神；上帝(God)
goddess	n. 女神
goes	（go的第三人称单数形式）去，到，（go的第三人称单数形式）去
going about	v. 忙着做
going to	将要
gold	金子，黄金的，金制的 adj.  n. 金子；黄金，金色；黄金；金牌，黄金，黄金；金子，黄金；金牌
gold medal	金牌
gold mine	金矿
golden	adj，美好的；金色的；金的 adj. 金的；金色的，金色的，金（黄）色的，黄金的，金色的；珍贵的，幸运的
golden throne	n. 金銮宝座
goldfish	n. 金鱼
goldsmith	n. 金匠
golf	n. 高尔夫，高尔夫球运动，高尔夫球（运动）
golfer	n. 打高尔夫球的人
gone	不见了，走，离开
good	好的，有益的 adj. 乖的；守规矩的，令人愉快的；好的，好的，好的；令人愉快的
good afternoon	下午好
good at	善于，擅长
good friends	好朋友
good job	做得好
good luck	祝你好运，好运气
good manners	礼貌
good morning	早上好
good-bye	再见
good-looking	adj. 好看的，漂亮的，好看的；漂亮的，漂亮的，好看的
good-natured	adj. 性情温和的，和蔼的
goodbye	再见，再见(=bye-bye)，再见（bye），（bye）再见 excl. 再见，再会 int. 再见 interj. 再见 interj.&n. 再见
goodness	int. （表惊讶、生气等）天哪；啊呀 n. 善良；美德，天啊；啊呀
goods	n. [pl.]商品；货品，[复]商品，货品，商品，货品，商品；物品，商品；货品，货物，货物，商品，商品，物品
goodwill	n. 友好；善意
goose	(pl. geese)n.鹅 n. (pl.geese)鹅，鹅，鹅(复数是geese)，（pl.geese）（加拿大）雁；鹅
gorge	n. 峡谷
gorge oneself	贪婪地吃；狼吞虎咽
gorgeous	adj. 美丽的；宜人的
gorilla	大猩猩 n. 大猩猩
gospel	n. 福音音乐（通常由黑人歌手有力地大声演唱的基督教歌曲）
gossip	n.  v.  vi.&n. 闲话；闲谈
gossip column	（报纸上的）随笔专栏
got	get的过去式，（get的过去式）得到，收到，（get的过去式）收到；得到，（get的过去式）得到
got up	get up的过去式
govern	vt. 管理；支配；统治，统治，控制，统治，管理，统治；控制，支配，统治；治理 vt.&vi. 统治；支配；管理
governess	n. 家庭女教师
government	政府 n. 政府，政府，内阁，政府；内阁
governor	n. 州长，（美国）州长，州长；总督
gown	n. 女礼服，女礼服；长裙，长袍，法衣，礼服，睡袍，长袍；礼服
grab	抓住；抓取 vi.&vt. 抢夺，攫取，夺取 vt. （突然或用力）抓住，夺取，攫取
grace	n. 优美，优雅，魅力，优雅
graceful	adj. 优美的；优雅的
gracious	adj. 好心的，亲切的；优雅的 int. （表惊讶）天哪！哎呀！
graciously	adv. 优雅地
grade	年级 n. 年级，成绩等级；评分等级，考试成绩；年级；级别 v. 按……排列
gradual	adj. 逐渐的；逐步的，逐渐的，逐渐的，逐步的，平缓的，逐渐的，逐步的；平缓的，不陡的
gradually	adv. 渐渐地，逐渐地，逐步地，渐进地，逐步地；渐进地，逐渐地，逐渐地；渐渐地，逐渐地；逐步地
graduate	毕业 n. 毕业生 v. 毕业，毕业；获得学位 vi. 毕业，（以……）大学毕业；获得（学生）学位
graduation	n. 毕业，毕业典礼，（大学或美国中学）毕业，毕业；毕业典礼
graffiti	n. 涂鸦，乱涂乱抹
grain	n. 谷物；粮食；颗粒，谷物，谷粒，谷物；粮食，谷物；谷类，谷物；颗粒，谷粒
gram	n. 克，克（重量单位）
grammar	n. 语法
grammatical	adj. 符合语法规则的；语法上的
gramophone	n. 留声机
grand	adj. 壮丽的；堂皇的，大的；豪华的；雄伟的，宏大的，壮丽的，堂皇的，隆重的，巨大的，盛大的，豪华的，重大的，主要的，极重要的
grand total	总计；共计
grandchild	(pl.grandchildren)n.孙子 n. 孙子；孙女；外孙；外孙女，（外）孙子，（外）孙女
grandchildren	（grandchild的复数形式）（外）孙子；（外）孙女
granddaughter	n. (外)孙女，孙女；，孙女；外孙女，（外）孙女
grandfather	爷爷；外公，爷爷；外公(grandpa)，祖父，祖父；外祖父，（外）祖父，（外）祖父；爷爷；外公（grandpa），爷爷，外公（口grandpa） n. （外）祖父，（外）祖父；爷爷；外公，（外）祖父；爷爷；外公（=grandpa），（外）祖父；爷爷；外公；姥爷
grandma	奶奶，外婆，奶奶；外婆，祖母，外祖母，祖母；外祖母，（口语）奶奶；姥姥，（口语）（外）祖母 n. （外）祖母，（外）祖母；奶奶；外婆，（外）祖母；奶奶；外婆；姥姥
grandmother	奶奶；外婆，奶奶；外婆(grandma)，祖母，祖母；外祖母，（外）祖母，（外）祖母；奶奶；外婆（grandma），奶奶，外婆（口grandma） n. （外）祖母，（外）祖母，奶奶，外婆（=grandma），（外）祖母；奶奶；外婆，（外）祖母；奶奶；外婆；姥姥
grandpa	爷爷，外公，爷爷；外公，祖父；外祖父，（口语）爷爷；外公，（外）祖父 n. （外）姐父；爷爷；外公，（外）祖父，（外）祖父；爷爷；外公；姥爷
grandparent	祖父（母），外祖父（母），祖父；祖母：外祖父；外祖母，祖父；祖母；外祖父；外祖母，（外）祖父／母，（外）祖父；（外）祖母，（外）祖母：（外）祖父 n. 祖父母，祖父（母），祖父（母），外祖父（母），祖父（母）；外祖父（母），（外）祖父；（外）祖母，（外）祖父；（外）袓母
grandson	n. 孙子，外孙，孙子；外孙，（外）孙子
granite	n. 花岗岩
granny	n. 奶奶
grant	vt. 同意，准予
grape	葡萄，（常用复数形式grapes）葡萄 n. 葡萄
grapefruit	葡萄柚
grapes	葡萄
graph	n. 图表；坐标图；曲线图，图表，图表，曲线图，曲线图
graphic	图形的
graphical image	图像
graphical user interface(GUI)	图形用户界面
graphics card	显示卡
graphics processing unit(GPU)	图像处理单位
grasp	n. 控制 v.  vt. 抓住；抓紧；掌握，抓住；领会，抓紧，抓牢，理解，领会；抓牢，抓紧 vt.&n. 抓住；抓紧；掌握；领会
grass	草，草，草地，草，青草，草坪 n. 草，草坪；草地，草；草地，革；草地
grassland	n. 草场；草原
grassy	adj. 芳草萋萋的；长满草的
grateful	adj. 感恩的；感谢的，感激的，感谢的，感激的，表示感谢的，感激的；感谢的，感激的；表示谢意的，感谢的，感激的
gratification	n. 满足，喜悦
gratitude	n. 感激；感谢，感激；感恩
grave	n. 墓，墓穴，坟墓；墓地
gravity	n. 严重性；重力，地球引力，地心引力，重力，地心引力；引力，重力，重力，地心引力，重力，地球引力，重力；地球引力，重力；引力，万有引力；重力，地心引力
gravy	n. （混有面粉、调料等的）肉汁，（调味）肉汁
gray	灰色的，灰暗的 adj. 灰色的（也可拼写为grey） n.
graze	v. 放牧；吃青草 vi. 放牧；吃草
great	太好了，好极了，好极了；太好了，好极了；太棒了，好极了；很好，巨大的；强烈的，很多的，极大的，很好的，极好的，很好的；很棒的，极好的；伟大的；巨大的，非常好的，非常好的，令人愉快的，伟大的，极好的，好极了，非常好的；令人愉快的 adj. 伟大的；好极的，太好了；巨大的；超乎寻常的，好极的；伟大的；重要的，美妙的；伟大的
great auk	n. 大海雀（已灭绝）
great-grandma	n. 曾祖母，曾外祖母
great-grandpa	n. 曾祖父，曾外祖父
greatest	最伟大的
greatly	adv. 很；非常，非常，很，非常，很，大大地，非常；很
greed	n. 贪婪，贪心，贪婪
greedily	adv. 贪婪地
greedy	adj. 贪吃的；贪婪的；贪心的，贪婪的，贪婪的，贪心的，贪婪的；贪食的，嘴馋的
green	绿，绿色，绿色的，绿色的；绿色，绿色（的），绿色；绿色的 adj. 环境保护的；赞成环境保护的，绿色的 adj.&n. 绿色（的） n.
green beans	豆角；四季豆
green tea	绿茶
green with envy	妒忌的，眼红的
greengrocer	n. 果蔬商，蔬菜水果商，蔬菜水果商 (pl)蔬菜水果店，蔬菜水果商，菜贩
greengrocer's	蔬菜水果商店
greenhouse	n. 温室；花房，温室，花房
greenhouse effect	温室效应
greenwashing	n. 绿色伪装；伪环保
greet	问候 v. 和……打招呼；迎接，和（某人）打招呼，和（某人）打招呼（或问好），欢迎；迎接，问候；向……致意 vi.&vt. 迎接；问候 vt. 和某人打招呼（或问好），欢迎；迎接，问候，打招呼，问候，致意
greet sb. with a smile	微笑着问候
greeting	招呼，问候 n. 问侯；打招呼，问候，问候；问候语
grew	grow的过去式
grey	灰色，灰色；灰色的 adj. （天空）阴沉的；昏暗的；灰色的，灰色的，灰色的(=gray)，灰色的；（天气）阴沉的，灰色的，灰白的 adj.&n. 灰色（的）
greyhound	n. 灰狗（美国长途汽车公司名称）
grief	n. 悲痛，伤心事
grievance	n. 不满，抱怨，牢骚
grieve	v. 感到悲痛 vi.&vt. （使）悲痛，（使）伤心，忧伤
grill	n. 烤架 v. 烧烤；烤制 vt.
grin	n.  v. 咧嘴笑 vi.
grind	vt. 磨（碎）；折磨
grindstone	n. 磨石；砂轮
grizzly	adj. 略灰色的，呈灰色的 n.
groan	叹息 n. 呻吟 n.&vi. 呻吟；叹息
grocer	n. 食品杂货商
